Property,Type,Price_Low,Price_High,Sleeps,Operator,Amenities,Season_Note
Mega Dome,Dome,300,350,8,Asheville Glamping,"1300 sqft, 20ft ceiling, loft with slide",Year-round
Ultimate Slide Dome,Dome,200,275,6,Asheville Glamping,"Private hot tub, indoor slide, bathroom",Year-round
Ultra Luxe Dome,Dome,250,350,4,The Glamping Collective,"23ft geodesic, mountain views, hot tub, fire table",Year-round
Luxe Glass Cabin,Glass Cabin,200,300,4,The Glamping Collective,"Transparent walls, luxury amenities",Year-round
XL Luxe Dome,Dome,225,325,6,The Glamping Collective,"Oversized dome, premium furnishings",Year-round
Treehouse,Treehouse,282,350,2,Asheville Glamping,"Adults-only, 2 suspension bridges, queen bed, kitchenette",Year-round
Nantahala Yurts,Yurt,100,150,4,Nantahala Yurts,"Off-grid feel, Bryson City area",Year-round
Vintage Camper,Camper,190,190,2,Hipcamp Host,"3 mi to Asheville",Year-round
Upcycled Art Studio,Studio,68,68,2,Hipcamp Host,"Artsy unique space",Year-round
Charming Tiny House,Tiny House,72,85,4,Hipcamp Host,"16 acres property",Year-round
Pink Fox Cove Cabin,Cabin,107,130,4,Hipcamp Host,"Mountain cabin setting",Year-round
CreekStone Campsite,Tent/Camp,40,50,2,Hipcamp Host,"Candler NC, basic glamping",Year-round
The Baying Hound,Tent/Camp,27,35,2,Hipcamp Host,"Budget campground glamping",Year-round
Glassy Stays Dome,Dome,200,300,4,Glassy Stays,"Transparent luxury dome",Year-round
Wunderland Eco Pod,Pod,175,250,2,Wunderland Resort,"Eco-luxury pod, forest setting",Year-round
